scheduler,num_l,num_h,inst_thrput
FCFS,3,1,8.113188042125948
FCFS,2,2,4.407052832037633
FCFS,0,4,0.17066591149234142
FCFS,0,8,0.17028203295056346
FRFCFS,3,1,10.987920635164247
FRFCFS,2,2,7.024348744670897
FRFCFS,0,4,0.5794240967861999
FRFCFS,0,8,0.5744063370250186
ATLAS,3,1,11.18619030085631
ATLAS,2,2,7.297901287516214
ATLAS,0,4,0.2890032316491069
ATLAS,0,8,0.2134583160905692
BLISS,3,1,10.998920632887646
BLISS,2,2,7.16338240527593
BLISS,0,4,0.5759093207613586
BLISS,0,8,0.5548928508087757
