cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size_kb,inp_size,n_dpus,dtype,block,final_reduc,n_tsklts
0.593,0.4365,1.2525,768.0,16,4096,64,INT32,10,SINGLE,4
0.591,0.4485,1.3975,1264.0,16,4096,64,INT32,10,SINGLE,8
0.7135,0.428,1.858,1952.0,16,4096,64,INT32,10,SINGLE,12
0.811,0.462,2.698,2912.0,16,4096,64,INT32,10,SINGLE,16
0.7385,0.4925,3.8335,4000.0,16,4096,64,INT32,10,SINGLE,20
0.643,0.4065,4.198,5584.0,16,4096,64,INT32,10,SINGLE,24
0.671,0.384,1.0425,832.0,16,4096,64,INT32,10,TREE_BARRIER,4
0.71,0.388,1.5205,1344.0,16,4096,64,INT32,10,TREE_BARRIER,8
0.8105,0.4405,2.023,2080.0,16,4096,64,INT32,10,TREE_BARRIER,12
0.59,0.4165,2.746,3040.0,16,4096,64,INT32,10,TREE_BARRIER,16
0.7095,0.4725,3.9755,4272.0,16,4096,64,INT32,10,TREE_BARRIER,20
0.699,0.421,4.8615,5968.0,16,4096,64,INT32,10,TREE_BARRIER,24
0.6,0.4125,1.1515,880.0,16,4096,64,INT32,10,TREE_HANDSHAKE,4
0.557,0.373,1.655,1536.0,16,4096,64,INT32,10,TREE_HANDSHAKE,8
0.588,0.411,1.9215,2256.0,16,4096,64,INT32,10,TREE_HANDSHAKE,12
0.487,0.3985,3.0285,3168.0,16,4096,64,INT32,10,TREE_HANDSHAKE,16
0.6345,0.404,3.6205,4144.0,16,4096,64,INT32,10,TREE_HANDSHAKE,20
0.729,0.401,4.049,5296.0,16,4096,64,INT32,10,TREE_HANDSHAKE,24
0.652,0.421,1.1185,800.0,16,4096,64,INT32,10,MUTEX,4
0.4335,0.416,1.771,1248.0,16,4096,64,INT32,10,MUTEX,8
0.64,0.3805,1.77,1968.0,16,4096,64,INT32,10,MUTEX,12
0.772,0.452,2.7485,2816.0,16,4096,64,INT32,10,MUTEX,16
0.871,0.4795,3.7605,4000.0,16,4096,64,INT32,10,MUTEX,20
0.5265,0.4635,4.9765,5616.0,16,4096,64,INT32,10,MUTEX,24
0.8235,0.4275,11.5665,29600.0,1024,262144,64,INT32,10,SINGLE,4
0.8225,0.397,12.532,30240.0,1024,262144,64,INT32,10,SINGLE,8
0.793,0.407,12.617,30976.0,1024,262144,64,INT32,10,SINGLE,12
0.78,0.435,23.8585,31920.0,1024,262144,64,INT32,10,SINGLE,16
0.832,0.4585,15.3975,32688.0,1024,262144,64,INT32,10,SINGLE,20
0.6305,0.5035,14.659,33760.0,1024,262144,64,INT32,10,SINGLE,24
0.7565,0.4425,12.631,29648.0,1024,262144,64,INT32,10,TREE_BARRIER,4
0.636,0.512,13.4505,30384.0,1024,262144,64,INT32,10,TREE_BARRIER,8
0.5415,0.4055,13.7375,31168.0,1024,262144,64,INT32,10,TREE_BARRIER,12
0.888,0.3975,14.065,32144.0,1024,262144,64,INT32,10,TREE_BARRIER,16
0.5895,0.4855,15.2145,33088.0,1024,262144,64,INT32,10,TREE_BARRIER,20
0.7,0.417,15.9155,34240.0,1024,262144,64,INT32,10,TREE_BARRIER,24
0.8365,0.4555,15.2215,29680.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,4
0.7895,0.4475,13.1925,30432.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,8
0.7665,0.4895,13.4465,31248.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,12
0.696,0.3965,14.801,32192.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,16
0.779,0.427,13.351,33168.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,20
0.5885,0.4285,14.329,34288.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,24
0.6125,0.4655,11.7475,29632.0,1024,262144,64,INT32,10,MUTEX,4
0.766,0.4065,12.1595,30272.0,1024,262144,64,INT32,10,MUTEX,8
0.6125,0.4385,11.601,31104.0,1024,262144,64,INT32,10,MUTEX,12
0.7475,0.4285,13.1545,32096.0,1024,262144,64,INT32,10,MUTEX,16
0.7215,0.3665,13.905,32928.0,1024,262144,64,INT32,10,MUTEX,20
0.566,0.403,13.6615,34080.0,1024,262144,64,INT32,10,MUTEX,24
0.791,0.2255,136.763,467152.0,16384,4194304,64,INT32,10,SINGLE,4
0.7565,0.3675,146.745,467840.0,16384,4194304,64,INT32,10,SINGLE,8
0.7385,0.286,144.6795,468592.0,16384,4194304,64,INT32,10,SINGLE,12
0.8495,0.3555,149.687,469536.0,16384,4194304,64,INT32,10,SINGLE,16
0.872,0.377,154.901,470544.0,16384,4194304,64,INT32,10,SINGLE,20
0.732,0.3095,153.721,471648.0,16384,4194304,64,INT32,10,SINGLE,24
0.776,0.299,145.46,467216.0,16384,4194304,64,INT32,10,TREE_BARRIER,4
0.791,0.3445,182.653,467904.0,16384,4194304,64,INT32,10,TREE_BARRIER,8
0.7625,0.19,144.6705,468816.0,16384,4194304,64,INT32,10,TREE_BARRIER,12
0.7005,0.27,148.088,469872.0,16384,4194304,64,INT32,10,TREE_BARRIER,16
0.863,0.263,149.503,470976.0,16384,4194304,64,INT32,10,TREE_BARRIER,20
0.6805,0.276,148.6525,472288.0,16384,4194304,64,INT32,10,TREE_BARRIER,24
0.7945,0.3185,163.267,467248.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,4
0.687,0.302,142.326,468016.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,8
0.706,0.2625,155.304,468864.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,12
0.827,0.291,149.2205,469856.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,16
0.812,0.252,144.251,470912.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,20
0.7675,0.325,152.086,472144.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,24
0.793,0.3175,140.115,467200.0,16384,4194304,64,INT32,10,MUTEX,4
0.828,0.3715,143.2955,467840.0,16384,4194304,64,INT32,10,MUTEX,8
0.862,0.2975,146.741,468704.0,16384,4194304,64,INT32,10,MUTEX,12
0.605,0.2145,144.122,469696.0,16384,4194304,64,INT32,10,MUTEX,16
0.844,0.3075,156.1415,470784.0,16384,4194304,64,INT32,10,MUTEX,20
0.7825,0.351,145.619,471952.0,16384,4194304,64,INT32,10,MUTEX,24
