input_size_mb,dpu_cnt,tf_method,cpu_dpu_ms,dpu_cpu_ms
1,52,parallel,0.3693,0.3591
1,52,broadcast,0.204,0.2022
1,53,serial,0.3282,0.3087
1,53,parallel,0.3128,0.304
1,53,broadcast,0.2498,0.2629
1,54,serial,0.3085,0.293
1,54,parallel,0.2914,0.3006
1,54,broadcast,0.2466,0.2735
1,55,serial,0.361,0.3429
1,55,parallel,0.2646,0.284
1,55,broadcast,0.2283,0.2307
1,56,serial,0.3343,0.3394
1,56,parallel,0.3552,0.3602
1,56,broadcast,0.283,0.2641
1,57,serial,0.3133,0.3105
1,57,parallel,0.3098,0.3072
1,57,broadcast,0.2797,0.3084
1,58,serial,0.3111,0.3364
1,58,parallel,0.3491,0.3534
1,58,broadcast,0.243,0.2567
1,59,serial,0.3212,0.3521
1,59,parallel,0.3633,0.3756
1,59,broadcast,0.2369,0.2341
1,60,serial,0.3422,0.3412
1,60,parallel,0.3363,0.319
1,60,broadcast,0.2258,0.2123
1,61,serial,0.3499,0.3
1,61,parallel,0.2994,0.3429
1,61,broadcast,0.2722,0.3284
1,62,serial,0.412,0.3397
1,62,parallel,0.3463,0.3819
1,62,broadcast,0.3138,0.2824
1,63,serial,0.3759,0.3346
1,63,parallel,0.3642,0.3666
1,63,broadcast,0.2688,0.2363
1,64,serial,0.36,0.3371
1,64,parallel,0.3979,0.4507
1,64,broadcast,0.3027,0.2996
24,1,serial,0.5051,0.4871
24,1,parallel,0.4944,0.5039
24,1,broadcast,0.4878,0.0293
24,2,serial,0.3527,0.3559
24,2,parallel,0.3449,0.3746
24,2,broadcast,0.3427,0.0338
24,3,serial,0.2676,0.2622
24,3,parallel,0.2723,0.3478
24,3,broadcast,0.2776,0.0355
24,4,serial,0.2152,1.3766
24,4,parallel,0.1849,0.6607
24,4,broadcast,0.1716,0.0389
24,5,serial,0.1665,1.8995
24,5,parallel,0.1656,1.1701
24,5,broadcast,0.1475,0.0557
24,6,serial,0.1715,1.1328
24,6,parallel,0.1903,1.5312
24,6,broadcast,0.1584,0.0703
24,7,serial,0.1866,1.5869
24,7,parallel,0.1781,1.1136
24,7,broadcast,0.1632,0.0802
24,8,serial,0.183,1.3149
24,8,parallel,0.2271,0.9533
24,8,broadcast,0.1672,0.0874
24,9,serial,0.963,0.9364
24,9,parallel,0.516,0.884
24,9,broadcast,0.2079,0.0845
24,10,serial,0.227,0.9777
24,10,parallel,0.224,1.2941
24,10,broadcast,0.2006,0.0939
24,11,serial,0.2221,1.2259
24,11,parallel,0.2637,0.7803
24,11,broadcast,0.2494,0.1133
24,12,serial,0.2362,1.0117
24,12,parallel,0.4958,0.8697
24,12,broadcast,0.2653,0.1222
24,13,serial,0.719,0.9407
24,13,parallel,0.2368,1.1101
24,13,broadcast,0.2088,0.1147
24,14,serial,0.2753,0.8227
24,14,parallel,0.242,0.9942
24,14,broadcast,0.2141,0.1235
24,15,serial,0.2501,1.0074
24,15,parallel,0.2451,1.1053
24,15,broadcast,0.2096,0.1237
24,16,serial,0.2535,1.0302
24,16,parallel,0.248,1.0299
24,16,broadcast,0.2195,0.1317
24,17,serial,0.2585,0.965
24,17,parallel,0.2458,1.1729
24,17,broadcast,0.2386,0.1488
24,18,serial,0.2598,0.96
24,18,parallel,0.237,1.1257
24,18,broadcast,0.2097,0.1419
24,19,serial,0.2587,1.0465
24,19,parallel,0.2548,1.1277
24,19,broadcast,0.2328,0.1544
24,20,serial,0.27,1.1862
24,20,parallel,0.257,1.1366
24,20,broadcast,0.2212,0.162
24,21,serial,0.2646,1.0543
24,21,parallel,0.2749,1.1885
24,21,broadcast,0.2196,0.1532
24,22,serial,0.2714,1.1383
24,22,parallel,0.2729,1.131
24,22,broadcast,0.2408,0.1636
24,23,serial,0.2994,0.8527
24,23,parallel,0.2716,1.1366
24,23,broadcast,0.2585,0.1618
24,24,serial,0.2786,1.0421
24,24,parallel,0.2869,1.0181
24,24,broadcast,0.2351,0.1791
24,25,serial,0.2892,1.1221
24,25,parallel,0.2782,1.0756
24,25,broadcast,0.2417,0.1705
24,26,serial,0.2941,1.2531
24,26,parallel,0.2887,0.9989
24,26,broadcast,0.2278,0.1455
24,27,serial,0.3059,1.2312
24,27,parallel,0.3099,1.0672
24,27,broadcast,0.2096,0.1739
24,28,serial,0.3071,1.1366
24,28,parallel,0.2989,1.1391
24,28,broadcast,0.229,0.1754
24,29,serial,0.3242,1.3644
24,29,parallel,0.337,0.932
24,29,broadcast,0.2677,0.2016
24,30,serial,0.3262,1.3573
24,30,parallel,0.3279,1.2807
24,30,broadcast,0.2439,0.1653
24,31,serial,0.3173,1.0482
24,31,parallel,0.3214,1.084
24,31,broadcast,0.2506,0.1992
24,32,serial,0.3658,1.0228
24,32,parallel,0.3347,1.1801
24,32,broadcast,0.2456,0.1782
24,33,serial,0.3397,1.1292
24,33,parallel,0.3204,1.0263
24,33,broadcast,0.2809,0.2061
24,34,serial,0.3448,1.3146
24,34,parallel,0.3402,1.1442
24,34,broadcast,0.2595,0.1803
24,35,serial,0.352,1.2495
24,35,parallel,0.3497,1.1572
24,35,broadcast,0.2756,0.1886
24,36,serial,0.361,1.0679
24,36,parallel,0.3379,1.2253
24,36,broadcast,0.2865,0.1952
24,37,serial,0.3698,1.2174
24,37,parallel,0.3404,1.0877
24,37,broadcast,0.2994,0.2366
24,38,serial,0.3518,1.2275
24,38,parallel,0.3486,1.2337
24,38,broadcast,0.2963,0.1908
24,39,serial,0.3523,1.2133
24,39,parallel,0.3588,1.1712
24,39,broadcast,0.2594,0.2043
24,40,serial,0.3585,1.2671
24,40,parallel,0.3613,1.1962
24,40,broadcast,0.2557,0.1798
24,41,serial,0.3875,1.1867
24,41,parallel,0.3663,1.1609
24,41,broadcast,0.2708,0.1803
24,42,serial,0.3647,1.0486
24,42,parallel,0.3735,1.3482
24,42,broadcast,0.3031,0.2037
24,43,serial,0.3902,1.2225
24,43,parallel,0.3531,1.0624
24,43,broadcast,0.2648,0.2339
24,44,serial,0.384,1.2786
24,44,parallel,0.3771,1.2138
24,44,broadcast,0.2762,0.2058
24,45,serial,0.4025,1.2605
24,45,parallel,0.3774,1.2887
24,45,broadcast,0.2873,0.2117
24,46,serial,0.4064,1.3561
24,46,parallel,0.3714,1.3744
24,46,broadcast,0.2818,0.2347
24,47,serial,0.4174,1.2614
24,47,parallel,0.409,1.1184
24,47,broadcast,0.2833,0.2541
24,48,serial,0.4257,1.3581
24,48,parallel,0.383,1.253
24,48,broadcast,0.2517,0.1958
24,49,serial,0.3939,1.0758
24,49,parallel,0.3989,1.1803
24,49,broadcast,0.299,0.1973
24,50,serial,0.4163,1.1898
24,50,parallel,0.4082,1.3094
24,50,broadcast,0.7102,0.2583
24,51,serial,0.4428,1.4153
24,51,parallel,0.4228,1.4132
24,51,broadcast,0.3225,0.2276
24,52,serial,0.4151,1.3355
24,52,parallel,0.435,1.3841
24,52,broadcast,0.3001,0.233
24,53,serial,0.4304,1.3691
24,53,parallel,0.4445,1.4071
24,53,broadcast,0.3187,0.2146
24,54,serial,0.4594,1.3303
24,54,parallel,0.4342,1.3537
24,54,broadcast,0.3116,0.2398
24,55,serial,0.4417,1.2873
24,55,parallel,0.4202,1.3105
24,55,broadcast,0.3421,0.2931
24,56,serial,0.4497,1.3095
24,56,parallel,0.4515,1.2869
24,56,broadcast,0.3632,0.2587
24,57,serial,0.4514,1.5621
24,57,parallel,0.45,1.4915
24,57,broadcast,0.3372,0.2256
24,58,serial,0.4548,1.3483
24,58,parallel,0.4615,1.3419
24,58,broadcast,0.3251,0.239
24,59,serial,0.4754,1.5333
24,59,parallel,0.4752,1.3806
24,59,broadcast,0.3328,0.2443
24,60,serial,0.4632,1.4252
24,60,parallel,0.4763,1.3331
24,60,broadcast,0.386,0.2573
24,61,serial,0.4725,1.3516
24,61,parallel,0.464,1.4628
24,61,broadcast,0.3642,0.2302
24,62,serial,0.5483,1.6004
24,62,parallel,0.5696,1.677
24,62,broadcast,0.3396,0.2682
24,63,serial,0.4815,1.5502
24,63,parallel,0.4667,1.4732
24,63,broadcast,0.3386,0.2587
24,64,serial,0.4761,1.4337
24,64,parallel,0.4913,1.4636
24,64,broadcast,0.3418,0.2903
48,1,serial,1.0447,1.0432
48,1,parallel,0.9975,0.9827
48,1,broadcast,1.0299,0.0326
48,2,serial,0.7337,2.4037
48,2,parallel,0.7091,2.3197
48,2,broadcast,0.7665,0.0363
48,3,serial,0.6526,1.1693
48,3,parallel,0.6539,1.016
48,3,broadcast,0.7115,0.0451
48,4,serial,0.5128,0.7888
48,4,parallel,0.5199,1.9177
48,4,broadcast,0.5477,0.0447
48,5,serial,0.3926,1.0546
48,5,parallel,0.4111,1.8612
48,5,broadcast,0.4434,0.0462
48,6,serial,0.3973,1.5949
48,6,parallel,0.3828,1.1238
48,6,broadcast,0.4302,0.0502
48,7,serial,0.3721,1.5131
48,7,parallel,0.3769,1.4478
48,7,broadcast,0.381,0.0664
48,8,serial,0.3652,2.2192
48,8,parallel,0.3676,2.1719
48,8,broadcast,0.4152,0.0915
48,9,serial,0.4179,1.5786
48,9,parallel,0.4156,1.9051
48,9,broadcast,0.4498,0.0962
48,10,serial,0.4154,1.3356
48,10,parallel,0.4028,2.349
48,10,broadcast,0.4235,0.0918
48,11,serial,0.3996,1.5038
48,11,parallel,0.3898,1.818
48,11,broadcast,0.4085,0.0989
48,12,serial,0.3961,1.6912
48,12,parallel,0.3925,1.9282
48,12,broadcast,0.4012,0.1166
48,13,serial,0.4032,1.6033
48,13,parallel,0.3841,1.7313
48,13,broadcast,0.405,0.1174
48,14,serial,0.4363,1.2927
48,14,parallel,0.3923,1.6774
48,14,broadcast,0.3933,0.1253
48,15,serial,0.4172,1.2739
